number,value,datetime_start,datetime_complete,duration,params_A,params_B,params_C,params_D,params_Vmax,params_a_ub,params_h1,params_h2,user_attrs_IAE,user_attrs_IAE_0,user_attrs_IAE_1,user_attrs_IAE_2,user_attrs_best_mean_reward,user_attrs_best_mean_reward_0,user_attrs_best_mean_reward_1,user_attrs_best_mean_reward_2,user_attrs_sumA,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_fixed_params,state
10,0.24919724293780462,2025-08-24 05:55:35,2025-08-24 07:14:38,0 days 01:19:03,63.50689973198376,-0.7327407053337398,37.20511220337946,-0.8034189354946212,16.365068632617643,0.507618471653492,3.5690741266695345,3.0932345688368623,,0.23467626863965615,,,,740.1245117833333,,,,0.24919724293780462,,,PRUNED
11,0.460303799803893,2025-08-24 06:08:39,2025-08-24 06:49:13,0 days 00:40:34,40.251682053360526,-0.5428190208840512,72.05271133249954,-0.45509203191915226,22.18203192284036,0.06432422207716837,2.3262632477933516,3.966770122144282,,,,,,,,,,0.460303799803893,,,PRUNED
12,0.17165573163861758,2025-08-24 06:16:40,2025-08-24 07:36:04,0 days 01:19:24,58.54473824465979,-0.20428073095520527,7.426139934572129,-0.6933994372830398,5.217977816659557,0.7216141416956656,3.3221341983342905,3.3582527375228173,,0.17032980911701692,,,,3631.9132256733337,,,,0.17165573163861758,,,PRUNED
13,0.39962837954590996,2025-08-24 06:32:22,2025-08-24 07:14:40,0 days 00:42:18,48.938289119327216,-0.5239722598311471,54.20832089200034,-0.24036199612227782,18.674291883644603,0.07509898611084931,1.2402753289717166,3.7353450344190877,,,,,,,,,,0.39962837954590996,,,PRUNED
14,1.3445154340964718,2025-08-24 06:36:18,2025-08-24 08:01:53,0 days 01:25:35,43.94727072767836,-0.4016094184265492,45.25284016465119,-0.12111550481142475,18.195874665928294,0.27416251557979177,1.1036264911901799,4.630356097239591,,1.1277130973160392,,,,2298.304495343333,,,,1.3445154340964718,,,PRUNED
15,0.3886001560152121,2025-08-24 06:49:13,2025-08-24 07:28:56,0 days 00:39:43,97.78203072438845,-0.9897683190882354,57.22694635431753,-0.6066651696033845,13.217148091888134,0.988980845084209,1.2607821226420528,3.88685587879758,,,,,,,,,,0.3886001560152121,,,PRUNED
16,0.4798332450795752,2025-08-24 06:58:36,2025-08-24 08:21:34,0 days 01:22:58,42.4476684991253,-0.8183532700067114,61.5883953323477,-0.6602418446457118,13.300887405258763,0.6162890694719372,1.0762709566720439,3.660196368926856,,1.0289882626353637,,,,707.4997974066667,,,,0.4798332450795752,,,PRUNED
17,0.24166492663312159,2025-08-24 07:14:38,2025-08-24 07:53:28,0 days 00:38:50,99.92381744096973,-0.9012946166934683,54.7380744755188,-0.6920004066371639,13.37268099234467,0.32974311764186104,4.917378813743861,3.990339930693945,,,,,,,,,,0.24166492663312159,,,PRUNED
18,0.3476061397937456,2025-08-24 07:14:40,2025-08-24 07:51:33,0 days 00:36:53,93.6051047951412,-0.9436653779896711,56.04104941213334,-0.691808943731942,13.030127781400445,0.9538418315503565,4.9891233830927915,4.744464613612673,,,,,,,,,,0.3476061397937456,,,PRUNED
19,2.323350371095411,2025-08-24 07:28:56,2025-08-24 09:05:24,0 days 01:36:28,33.63160901925545,-0.9052475961318537,2.4872502973410917,-0.6889146876238159,28.68744463883007,0.32003253600513687,4.852342199025344,4.8910330832975415,,2.480215979137823,,,,831.6240876900001,,,,2.323350371095411,,,PRUNED
